date,us_base,us_behavioral,us_adj_total,tw_base,tw_behavioral,tw_adj_total,divergence_base,divergence_behavioral
2014-11-06,71.35086672394551,76.7836153607141,5.432748636768579,36.01852921164006,36.01852921164006,0.0,35.33233751230546,40.76508614907404
2014-11-07,71.49080067679382,78.61272960400848,7.121928927214654,33.237593768194515,32.62459559557228,-0.612998172622234,38.25320690859931,45.9881340084362
2014-11-10,73.54009919508579,83.72532429452741,10.185225099441624,44.29012979184012,44.29012979184012,0.0,29.249969403245665,39.43519450268729
2014-11-11,73.74317350896341,83.32045950778829,9.577285998824877,42.87163943556505,42.87163943556505,0.0,30.871534073398358,40.448820072223235
2014-11-12,72.46548240141671,82.93379910329223,10.468316701875523,40.70352110188805,40.70352110188805,0.0,31.761961299528657,42.23027800140418
2014-11-13,71.14007841496601,81.86192746959394,10.721849054627924,37.91980327482211,37.91980327482211,0.0,33.220275140143904,43.94212419477183
2014-11-14,68.27141491827524,76.06483454612408,7.793419627848834,42.02391666336909,42.02391666336909,0.0,26.247498254906148,34.04091788275498
2014-11-17,66.90733195497381,72.50449255555397,5.597160600580153,41.18674743252066,41.18674743252066,0.0,25.72058452245315,31.317745123033305
2014-11-18,62.09709446210796,63.399635850297955,1.3025413881899937,43.04208823335089,43.04208823335089,0.0,19.055006228757073,20.357547616947066
2014-11-19,59.41581910242761,59.41581910242761,0.0,46.007301862341045,46.007301862341045,0.0,13.408517240086567,13.408517240086567
2014-11-20,56.060275158053855,56.060275158053855,0.0,46.51109327128052,46.51109327128052,0.0,9.549181886773333,9.549181886773333
2014-11-21,57.41279385630018,57.41279385630018,0.0,43.90173997006133,43.90173997006133,0.0,13.511053886238855,13.511053886238855
2014-11-24,59.00493990747814,59.00493990747814,0.0,44.182057581031465,44.182057581031465,0.0,14.822882326446674,14.822882326446674
2014-11-25,55.63385832286963,55.63385832286963,0.0,46.16222692852501,46.16222692852501,0.0,9.47163139434462,9.47163139434462
2014-11-26,56.62644776522851,56.62644776522851,0.0,44.08336487443971,44.08336487443971,0.0,12.543082890788803,12.543082890788803
2014-11-28,54.248941329811586,54.248941329811586,0.0,47.23954799239133,47.23954799239133,0.0,7.009393337420256,7.009393337420256
2014-12-01,47.34040201621661,47.34040201621661,0.0,48.23679660969746,48.23679660969746,0.0,0.8963945934808493,0.8963945934808493
2014-12-02,54.95385587391795,54.95385587391795,0.0,49.66984201671638,49.66984201671638,0.0,5.284013857201572,5.284013857201572
2014-12-03,57.3009982378819,57.3009982378819,0.0,55.60120577603071,55.60120577603071,0.0,1.6997924618511888,1.6997924618511888
2014-12-04,55.20790678804334,55.20790678804334,0.0,52.62284655693875,52.62284655693875,0.0,2.585060231104592,2.585060231104592
2014-12-05,55.89413102913405,55.89413102913405,0.0,49.632617944162874,49.632617944162874,0.0,6.2615130849711775,6.2615130849711775
2014-12-08,53.6050955907247,53.6050955907247,0.0,48.005828901577345,48.005828901577345,0.0,5.599266689147356,5.599266689147356
2014-12-09,50.06957079654731,50.06957079654731,0.0,43.76324234970654,43.76324234970654,0.0,6.306328446840773,6.306328446840773
2014-12-10,42.711683909710715,42.711683909710715,0.0,44.34292785696006,44.34292785696006,0.0,1.6312439472493452,1.6312439472493452
2014-12-11,40.13491510862574,40.13491510862574,0.0,39.794738572891944,39.794738572891944,0.0,0.34017653573379647,0.34017653573379647
2014-12-12,29.41475390285126,30.73069591423931,1.3159420113880493,37.698307140519184,37.698307140519184,0.0,8.283553237667924,6.967611226279875
2014-12-15,27.02424677002092,29.41989528911095,2.395648519090031,39.448723872072215,39.448723872072215,0.0,12.424477102051295,10.028828582961264
